Node Number	Shear Stress (MPa)
1445	0.95973
1446	1.8824
1447	1.6
1448	0.79885
1449	1.9677
1450	2.828
1451	3.4189
1452	3.8577
1453	3.4185
1454	2.5521
1455	2.4498
1456	2.9482
1457	3.3293
1458	2.8938
1459	1.6243
1460	1.5195
1461	2.4502
1462	2.4049
1463	1.7401
1464	1.2975
1465	3.8047
1466	3.8752
1467	3.1672
1468	1.4578
1469	2.7536
1470	3.4276
1471	4.1146
1472	3.7985
1473	2.4434
1474	3.0363
1475	3.638
1476	3.5238
1477	3.0312
1478	2.5983
1479	2.9477
1480	2.1318
1481	3.9212
1482	4.0895
1483	3.2716
1484	3.8028
1485	3.5353
1486	3.4054
1487	4.0963
1488	3.8668
1489	3.9256
1490	3.3619
1491	3.7858
1492	4.0445
1493	3.7879
1494	0.65244
1495	0.48407
1496	0.47564
1497	0.94582
1498	0.65576
1499	0.80155
1500	4.3988e-002
1501	-0.27663
1502	-0.42602
1503	-0.31033
1504	-8.5418e-002
1505	1.7705e-002
1506	-0.10521
1507	-0.36015
1508	-0.61624
1509	-0.7638
1510	0.18212
1511	-0.23191
1512	-0.78531
1513	-1.0266
1514	-0.77165
1515	-0.1751
1516	0.26756
1517	4.5489e-002
1518	-1.206
1519	-2.0299
1520	-2.5848
1521	-1.8013
1522	0.25851
1523	-0.75961
1524	-1.2752
1525	-0.11107
1526	-0.86124
1527	-0.76114
1528	-0.32326
1529	0.30511
1530	0.36051
1531	-0.10174
1532	-0.96193
1533	-1.5964
1534	0.19896
1535	-1.065
1536	-0.17356
1537	-0.52562
1538	-0.536
1539	-0.29824
1540	-4.6749e-002
1541	-1.36e-002
1542	-0.27748
1543	-0.61572
1544	-0.91651
1545	-0.4448
1546	-0.73711
1547	-0.60616
1548	-0.19324
1549	5.7895e-002
1550	-4.3448e-002
1551	-0.56467
1552	-1.1256
1553	-1.2828
1554	-0.41694
1555	-0.60552
1556	-0.45069
1557	-0.14466
1558	1.3915e-002
1559	-0.16222
1560	-0.51012
1561	-0.89711
1562	-0.15572
1563	-0.59803
1564	-1.1419
1565	-4.7134e-002
1566	-0.27343
1567	-0.25245
1568	-3.8532e-002
1569	4.1132e-002
1570	-0.18034
1571	-0.44333
1572	-0.23701
1573	-4.2487e-002
1574	0.37658
1575	0.56562
1576	0.44853
1577	0.51611
1578	0.2284
1579	-0.34742
1580	7.8936e-002
1581	-0.32658
1582	-0.17241
1583	3.1733e-002
1584	-9.9143e-003
1585	-0.27518
1586	-0.1962
1587	3.7879e-002
1588	-9.1886e-002
1589	-0.17662
1590	-6.6561e-002
1591	6.2125e-002
1592	-8.3893e-003
1593	-0.16499
1594	0.26277
1595	0.13643
1596	0.4236
1597	1.2925e-002
1598	0.27924
1599	7.4341e-002
1600	-3.8988e-002
1601	4.8317e-002
1602	6.0173e-002
1603	-6.3445e-002
1604	0.11727
1605	0.14422
1606	4.8365e-002
1607	7.1234e-002
1608	1.3142e-002
1609	-6.4065e-002
1610	9.9975e-002
1611	-0.28432
1612	-3.3953e-002
1613	1.8504e-002
1614	0.20852
1615	-3.9159e-002
1616	-1.5751e-002
1617	0.19587
1618	2.1917e-002
1619	-1.2589e-002
1620	2.717e-003
1621	-2.0507e-002
1622	1.2152
1623	7.5062e-002
1624	-1.5168e-002
1625	2.9356e-003
1626	-1.539e-002
