Node Number	Normal Stress (MPa)
1492	-0.10478
1493	0.21509
1494	0.3573
1495	0.21052
1496	0.23991
1497	0.4683
1498	0.67843
1499	0.42036
1500	-7.1427e-002
1501	-0.26944
1502	-0.26291
1503	0.2208
1504	1.0436
1505	1.6508
1506	1.5258
1507	0.78461
1508	0.17506
1509	-9.1763e-002
1510	-7.8053e-002
1511	-1.0421e-002
1512	0.10311
1513	0.30073
1514	0.60867
1515	1.0009
1516	1.2089
1517	1.2776
1518	0.97892
1519	0.32381
1520	-0.19744
1521	-0.14192
1522	9.8197e-003
1523	-3.0184e-002
1524	-3.3495e-002
1525	-0.1362
1526	4.5052e-002
1527	0.39579
1528	0.78559
1529	1.2315
1530	1.4957
1531	1.2375
1532	0.71993
1533	0.12479
1534	2.8438e-002
1535	-2.4714e-002
1536	-0.11056
1537	-0.19428
1538	4.393e-002
1539	0.69237
1540	1.4719
1541	1.8097
1542	1.4355
1543	0.62864
1544	-5.59e-002
1545	-1.8843e-002
1546	5.0628e-002
1547	0.42998
1548	1.0749
1549	1.6398
1550	1.7898
1551	1.2446
1552	0.52679
1553	0.1812
1554	-0.18391
1555	-0.11446
1556	0.37529
1557	1.157
1558	1.7369
1559	1.6842
1560	1.0299
1561	0.1825
1562	-4.9154e-002
1563	-9.0303e-002
1564	4.179e-002
1565	0.50169
1566	0.87575
1567	-0.68412
1568	-3.2452
1569	-3.1889
1570	-1.0977
1571	0.21256
1572	4.8763e-002
1573	0.4929
1574	-0.45322
1575	-1.9275
1576	-1.5384
1577	-4.4565e-002
1578	1.2823
1579	0.14461
1580	0.45442
1581	0.57958
1582	-1.672
1583	-3.1006
1584	-2.0266
1585	-0.13778
1586	0.24905
1587	0.53704
1588	1.1745
1589	0.26469
1590	-2.3156
1591	-2.6546
1592	-0.94182
1593	0.26423
1594	2.5919e-002
1595	-1.1973
1596	-2.2082
1597	-0.56241
1598	1.3069
1599	1.0811
1600	-0.82707
1601	-2.4687
1602	-1.7594
1603	-6.778e-002
1604	-0.45003
1605	-2.1498
1606	-1.6546
1607	0.37923
1608	0.1409
1609	3.7958e-002
1610	-1.1533e-002
1611	-2.7934
1612	-1.4463
1613	-1.587e-002
1614	-2.4575
1615	-1.1091
1616	-1.0831
1617	-4.986
1618	-1.6543
1619	0.39249
1620	0.14509
1621	0.75475
1622	-8.4597
1623	0.44559
1624	1.1177
1625	0.25238
1626	0.33376
1627	1.0187
1628	-2.8625
1629	-1.2285
