Node Number	Shear Stress (MPa)
1525	3.3487e-002
1526	0.45706
1527	1.1054
1528	1.2454
1529	0.84657
1530	-9.5322e-002
1531	-0.9962
1532	-1.5198
1533	-1.1888
1534	-0.12601
1535	-0.17186
1536	4.3983e-002
1537	0.37323
1538	0.73206
1539	0.80708
1540	0.51586
1541	-2.1737e-002
1542	-0.46568
1543	-0.62936
1544	-0.46753
1545	0.15205
1546	0.64257
1547	1.0218
1548	0.97399
1549	0.4658
1550	-0.26628
1551	-0.86622
1552	-1.0051
1553	-0.61791
1554	0.17735
1555	0.61378
1556	0.84911
1557	0.71956
1558	0.2613
1559	-0.29052
1560	-0.64089
1561	-0.61392
1562	8.3162e-003
1563	0.35565
1564	-0.35618
1565	-1.6486e-002
1566	0.16134
1567	0.54116
1568	0.55089
1569	0.12688
1570	-0.2169
1571	-0.18108
1572	-0.55434
1573	-0.30971
1574	-2.6246e-002
1575	0.30366
1576	0.40063
1577	0.60182
1578	-8.4333e-003
1579	-5.8907e-002
1580	2.698e-002
1581	0.37507
1582	0.58094
1583	0.40358
1584	4.4266e-003
1585	-0.21541
1586	-0.12492
1587	-7.5283e-003
1588	0.117
1589	0.32024
1590	0.47353
1591	0.27688
1592	-1.1463e-002
1593	-0.14017
